2015-10-07 18:33:11,650 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP2/Stubsmocks/simpleGame/src/test/resources
2015-10-07 18:34:38,890 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-07 18:34:38,891 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP2/Stubsmocks/simpleGame/src/main/resources
2015-10-07 18:34:38,892 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-07 18:34:38,892 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP2/Stubsmocks/simpleGame/src/test/resources
2015-10-07 18:34:51,579 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-07 18:34:51,579 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP2/Stubsmocks/simpleGame/src/main/resources
2015-10-07 18:34:51,580 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-07 18:34:51,580 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP2/Stubsmocks/simpleGame/src/test/resources
2015-10-07 18:35:32,857 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-07 18:35:32,858 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nduquesne/ISTIC/Cours/VV/vv-TP2/Stubsmocks/simpleGame/src/main/resources
2015-10-07 18:35:32,860 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
